#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,1046,"Bubble Cup 11 - Finals [Online Mirror, Div. 2]",F,Splitting money,1400,2888,implementation,https://codeforces.com/contest/1046/problem/F,div2
2,180,"Codeforces Round 116 (Div. 2, ACM-ICPC Rules)",F,Mathematical Analysis Rocks!,1200,2650,constructive algorithms;implementation;math,https://codeforces.com/contest/180/problem/F,div2
