#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,1800,Codeforces Round 855 (Div. 3),C2,Powering the Hero (hard version),1100,25174,data structures;greedy,https://codeforces.com/contest/1800/problem/C2,div3
2,2132,Codeforces Round 1043 (Div. 3),C2,The Cunning Seller (hard version),1400,9582,binary search;greedy;math,https://codeforces.com/contest/2132/problem/C2,div3
