#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,414,Codeforces Round 240 (Div. 1),B,Mashmokh and ACM,1400,25780,combinatorics;dp;number theory,https://codeforces.com/contest/414/problem/B,div1
2,1909,Pinely Round 3 (Div. 1 + Div. 2),B,Make Almost Equal With Mod,1200,24124,bitmasks;constructive algorithms;math;number theory,https://codeforces.com/contest/1909/problem/B,div1
3,1704,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",B,Luke is a Foodie,1000,23826,brute force;greedy;implementation,https://codeforces.com/contest/1704/problem/B,div1
4,776,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",B,Sherlock and his girlfriend,1200,23500,constructive algorithms;number theory,https://codeforces.com/contest/776/problem/B,div1
5,1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),B,K-Sort,1000,22743,greedy,https://codeforces.com/contest/1987/problem/B,div1
6,1656,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",B,Subtract Operation,1100,22743,data structures;greedy;math;two pointers,https://codeforces.com/contest/1656/problem/B,div1
7,2062,"Ethflow Round 1 (Codeforces Round 1001, Div. 1 + Div. 2)",B,Clockwork,900,22042,greedy;math,https://codeforces.com/contest/2062/problem/B,div1
8,2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),B,Removals Game,1000,21711,constructive algorithms;games,https://codeforces.com/contest/2002/problem/B,div1
9,1684,Codeforces Round 792 (Div. 1 + Div. 2),B,Z mod X = C,800,21489,constructive algorithms;math,https://codeforces.com/contest/1684/problem/B,div1
10,1842,"CodeTON Round 5 (Div. 1 + Div. 2, Rated, Prizes!)",B,Tenzing and Books,1100,21221,bitmasks;greedy;math,https://codeforces.com/contest/1842/problem/B,div1
11,1975,Codeforces Round 947 (Div. 1 + Div. 2),B,378QAQ and Mocha's Array,1000,20084,brute force;greedy;math;sortings,https://codeforces.com/contest/1975/problem/B,div1
12,1844,Codeforces Round 884 (Div. 1 + Div. 2),B,Permutations & Primes,1000,19415,constructive algorithms;math,https://codeforces.com/contest/1844/problem/B,div1
13,1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),B,Fun Game,1100,18635,bitmasks;constructive algorithms;greedy;math,https://codeforces.com/contest/1994/problem/B,div1
14,1810,"CodeTON Round 4 (Div. 1 + Div. 2, Rated, Prizes!)",B,Candies,800,18325,constructive algorithms;math;number theory,https://codeforces.com/contest/1810/problem/B,div1
15,1991,Pinely Round 4 (Div. 1 + Div. 2),B,AND Reconstruction,1100,18087,bitmasks;constructive algorithms;greedy,https://codeforces.com/contest/1991/problem/B,div1
16,1896,"CodeTON Round 7 (Div. 1 + Div. 2, Rated, Prizes!)",B,AB Flipping,900,17044,greedy;strings;two pointers,https://codeforces.com/contest/1896/problem/B,div1
17,2124,"EPIC Institute of Technology Round Summer 2025 (Codeforces Round 1036, Div. 1 + Div. 2)",B,Minimise Sum,1000,16719,greedy,https://codeforces.com/contest/2124/problem/B,div1
18,1750,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",B,Maximum Substring,800,16599,brute force;greedy;implementation,https://codeforces.com/contest/1750/problem/B,div1
19,1654,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",B,Prefix Removals,800,16317,strings,https://codeforces.com/contest/1654/problem/B,div1
20,1726,Codeforces Round 819 (Div. 1 + Div. 2) and Grimoire of Code Annual Contest 2022,B,Mainak and Interesting Sequence,1100,16305,bitmasks;constructive algorithms;math,https://codeforces.com/contest/1726/problem/B,div1
21,1863,Pinely Round 2 (Div. 1 + Div. 2),B,Split Sort,1100,16270,greedy;math;sortings,https://codeforces.com/contest/1863/problem/B,div1
22,1864,Harbour.Space Scholarship Contest 2023-2024 (Div. 1 + Div. 2),B,Swap and Reverse,1100,16156,constructive algorithms;greedy;sortings;strings,https://codeforces.com/contest/1864/problem/B,div1
23,1530,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",B,Putting Plates,800,16130,constructive algorithms;implementation,https://codeforces.com/contest/1530/problem/B,div1
24,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)",B,Shohag Loves Strings,1000,15947,constructive algorithms;greedy;implementation;strings,https://codeforces.com/contest/2039/problem/B,div1
25,1870,"CodeTON Round 6 (Div. 1 + Div. 2, Rated, Prizes!)",B,Friendly Arrays,1200,15378,bitmasks;greedy;math,https://codeforces.com/contest/1870/problem/B,div1
26,2096,"Neowise Labs Contest 1 (Codeforces Round 1018, Div. 1 + Div. 2)",B,Wonderful Gloves,1100,15141,greedy;math;sortings,https://codeforces.com/contest/2096/problem/B,div1
27,1804,Nebius Welcome Round (Div. 1 + Div. 2),B,Vaccination,1000,15028,greedy;implementation,https://codeforces.com/contest/1804/problem/B,div1
28,1942,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",B,Bessie and MEX,1100,15027,constructive algorithms;math,https://codeforces.com/contest/1942/problem/B,div1
29,1553,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",B,Reverse String,1300,14983,brute force;dp;hashing;implementation;strings,https://codeforces.com/contest/1553/problem/B,div1
30,1428,Codeforces Raif Round 1 (Div. 1 + Div. 2),B,Belted Rooms,1200,14916,graphs;implementation,https://codeforces.com/contest/1428/problem/B,div1
31,2084,"Teza Round 1 (Codeforces Round 1015, Div. 1 + Div. 2)",B,MIN = GCD,1100,14875,greedy;math;number theory,https://codeforces.com/contest/2084/problem/B,div1
32,2034,"Rayan Programming Contest 2024 - Selection (Codeforces Round 989, Div. 1 + Div. 2)",B,Rakhsh's Revival,1000,14549,data structures;greedy;implementation;two pointers,https://codeforces.com/contest/2034/problem/B,div1
33,1787,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",B,Number Factorization,1100,14303,greedy;math;number theory,https://codeforces.com/contest/1787/problem/B,div1
34,1761,Pinely Round 1 (Div. 1 + Div. 2),B,Elimination of a Ring,1000,14196,constructive algorithms;greedy;implementation,https://codeforces.com/contest/1761/problem/B,div1
35,1740,Codeforces Round 831 (Div. 1 + Div. 2),B,Jumbo Extra Cheese 2,800,14149,geometry;greedy;sortings,https://codeforces.com/contest/1740/problem/B,div1
36,2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",B,Kevin and Geometry,1100,13742,binary search;geometry,https://codeforces.com/contest/2061/problem/B,div1
37,1307,Codeforces Round 621 (Div. 1 + Div. 2),B,Cow and Friend,1300,13641,geometry;greedy;math,https://codeforces.com/contest/1307/problem/B,div1
38,1517,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),B,Morning Jogging,1200,13560,constructive algorithms;greedy;sortings,https://codeforces.com/contest/1517/problem/B,div1
39,2122,"Order Capital Round 1 (Codeforces Round 1038, Div. 1 + Div. 2)",B,Pile Shuffling,1100,13362,greedy;math,https://codeforces.com/contest/2122/problem/B,div1
40,1556,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",B,Take Your Places!,1300,13018,implementation,https://codeforces.com/contest/1556/problem/B,div1
